"code","plot","year","DM","CP","NDF","NDFD","ADF","EE","FA","Ash","NFC","NDFn","NDFDp","TDN.legume","DMI.legume","TDN.grass","DMI.grass","rfq.grass","rfq.legume","DDM.rfv","DMI.rfv","rfv"
"220048","2101","2022","91.04","22.48688","28.17688","6.982768","20.911888","2.05","1.05","8.95999999999999","40.2986216","26.2044984","27.336557952","57.5268718968357","3.20559263871771","58.5112676591469","2.40754638566665","114.527309734596","149.924973236547","72.609639248","4.25881076968067","239.713731482179"
"220049","2102","2022","91.51","21.706172","37.555704","10.551103","27.013752","2.05","1.05","8.48999999999999","32.82702328","34.92680472","29.705932392","51.3340109150161","2.24089160702198","53.7218104512091","2.12832768736906","92.9574118690251","93.5235400115726","67.856287192","3.19525364242939","168.076006830987"
"220050","2103","2022","91.1","23.63134","24.36925","8.03502","18.55707","2.05","1.05","8.90000000000001","42.7552575","22.6634025","28.03525328","60.9899324735555","3.90017168498853","61.1047854427408","2.43222557826246","120.829774071605","193.391225774572","74.44404247","4.92423853832186","284.170715410266"
"220051","2104","2022","92.73","8.011872","60.524871","23.405052","32.529684","2.05","1.05","7.27","26.37999797","56.28813003","38.240954528","41.7693300739491","1.38439598162457","46.6394698600338","2.01393020134785","76.3647454682721","47.0124330971751","63.559376164","1.98265602251346","97.6871162315913"
"220052","2105","2022","90.06","18.840552","42.256152","14.09439","30.206124","2.05","1.05","9.94","29.87122664","39.29822136","32.05867496","47.6259850487417","1.98362331902722","50.5551963980637","2.22915136383365","91.6221016257087","76.8065158815657","65.369429404","2.83982318124944","143.905132532192"
"220053","2106","2022","90.46","22.244114","29.209534","8.982678","21.48425","2.05","1.05","9.54000000000001","39.00101938","27.16486662","28.664498192","56.6397825100041","3.11043445320403","57.6516758735491","2.38658223680182","111.862167123308","143.231163366748","72.16376925","4.10824767009292","229.819098361578"
"220054","2107","2022","90.5","23.91915","22.3897","6.23545","17.34885","2.05","1.05","9.5","43.708429","20.822421","26.8403388","61.6690665702445","4.28568571202966","61.5243542627624","2.43542725483148","121.819584721495","214.873363800246","75.38524585","5.35960731943706","313.205670880017"
"220055","2108","2022","90.62","20.869786","34.743708","9.569472","25.337352","2.05","1.05","9.38","35.38856556","32.31164844","29.054129408","52.4733743790042","2.47230593308927","54.5170012204156","2.31822696262928","102.750229390944","105.471735614981","69.162202792","3.45386278286704","185.175781553792"
"220056","2109","2022","92.08","22.679304","30.377192","8.2872","21.666424","2.05","1.05","7.92","39.09990744","28.25078856","28.2027008","57.0424863607443","2.93325167643773","58.3080141424174","2.35779967370593","111.77123310523","136.032494915309","72.021855704","3.95033220977107","220.55058635271"
"220057","2110","2022","91.13","23.23815","37.108136","7.253948","25.051637","2.05","1.05","8.87","31.33128352","34.51056648","27.516621472","50.1111408965646","2.18808673910622","52.7096152957445","1.95150450166706","83.6284971794993","89.144327542485","69.384774777","3.23379217969881","173.934838809323"
